생산팀,생산팀장,이메일,비고
중형상부1팀,김도윤,doyoon.kim@example.com,샘플 데이터
중형상부2팀,이준호,junho.lee@example.com,샘플 데이터
중형하부팀,박성민,seongmin.park@example.com,샘플 데이터
중형메인팀,최현우,hyunwoo.choi@example.com,샘플 데이터
중형Att팀,정우진,woojin.jung@example.com,샘플 데이터
대형상부팀,강민석,minseok.kang@example.com,샘플 데이터
대형메인팀,윤재현,jaehyun.yoon@example.com,샘플 데이터
대형Att.팀,한지훈,jihoon.han@example.com,샘플 데이터
휠로더Front팀,오승현,seunghyun.oh@example.com,샘플 데이터
휠로더메인팀,임태영,taeyoung.lim@example.com,샘플 데이터
휠로더리어팀,서민재,minjae.seo@example.com,샘플 데이터
초대형조립팀,배정훈,junghoon.bae@example.com,샘플 데이터
프레임제작팀,신동현,donghyun.shin@example.com,샘플 데이터
Boom제작팀,문성호,sungho.moon@example.com,샘플 데이터
성능팀,조경민,kyungmin.cho@example.com,샘플 데이터
트리블슈팅팀,노재원,jaewon.roh@example.com,샘플 데이터
